PubMed ID,allele,order ID,EMMA ID,comment
22922464,Brdt<tm1a(EUCOMM)Wtsi>,2776,,Jo May 2018
29540666,Hdac3<tm1a(EUCOMM)Wtsi>,5083,,Jo May 2018
29588831,Tcf4<tm1a(EUCOMM)Wtsi>,5165,,Jo May 2018
29643507,Hbs1l<tm1a(KOMP)Wtsi>,6901,,Jo May 2018
29618580,Gclc<tm1a(EUCOMM)Wtsi>,5812,,Jo May 2018
29703891,Nat10<tm1a(KOMP)Wtsi>,8726,,Jo May 2018
29095442,Arhgef1<tm1a(EUCOMM)Wtsi>,8727,,Jo May 2018
22761313,Nfkbid<tm1a(EUCOMM)Wtsi>,2785,,Paola EMMA mentioned
23934451,Slc20a2<tm1a(EUCOMM)Wtsi>,4001,,Paola EMMA mentioned
23989956,Mb21d1<tm1a(EUCOMM)Hmgu>,4479,,Paola EMMA mentioned
24391134,Cyb5r2<tm1a(EUCOMM)Hmgu>,3976,,Paola EMMA mentioned
24529376,Slc39a8<tm1a(EUCOMM)Wtsi>,3744,,Paola EMMA mentioned
24860998,Asxl1<tm1e(EUCOMM)Wtsi>,2553,,Paola EMMA mentioned
25259925,Sesn3<tm1a(EUCOMM)Wtsi>,2754,,Paola EMMA mentioned
25428364,Ruvbl1<tm1a(EUCOMM)Wtsi>,6230,,Paola EMMA mentioned
25729399,Dock10<tm1a(EUCOMM)Hmgu>,3926,,Paola EMMA mentioned
26060214,P2rx7<tm1a(EUCOMM)Wtsi>,3947,,Paola EMMA mentioned
26078274,Mapkapk2<tm1a(EUCOMM)Hmgu>,4119,,Paola EMMA mentioned
26095358,Smpdl3b<tm1a(EUCOMM)Wtsi>,1968,,Paola EMMA mentioned
26119739,Mapre3<tm1a(EUCOMM)Wtsi>,3610,,Paola EMMA mentioned
26258414,Prmt5<tm2a(EUCOMM)Wtsi>,2518,,Paola EMMA mentioned
26335643,Slc25a38<tm1a(EUCOMM)Wtsi>,3473,,Paola EMMA mentioned
26385183,Asxl1<tm1e(EUCOMM)Wtsi>,2709,,Paola EMMA mentioned
26525805,Sox13<tm1a(EUCOMM)Wtsi>,2542,,Paola EMMA mentioned
