Gene_symbol,Allele_symbol,Reference,PMID
Fam212b,Fam212b<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fam47e,Fam47e<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fam69a,Fam69a<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fam71b,Fam71b<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fam92a,Fam92a<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fbf1,Fbf1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fbxo33,Fbxo33<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fbxw26,Fbxw26<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fdft1,Fdft1<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fkbp3,Fkbp3<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fnip2,Fnip2<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fryl,Fryl<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fxyd3,Fxyd3<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fzd6,Fzd6<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Galnt18,Galnt18<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Galntl5,Galntl5<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gbp5,Gbp5<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gda,Gda<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gdpd2,Gdpd2<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gimap6,Gimap6<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Glo1,Glo1<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Glyatl3,Glyatl3<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
