Gene_symbol,Allele_symbol,Reference,PMID
Ehbp1l1,Ehbp1l1<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ehd2,Ehd2<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ehmt1,Ehmt1<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Eif2b2,Eif2b2<tm2a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Eif2s3x,Eif2s3x<tm1.2(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Eif3h,Eif3h<tm1a(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Elac2,Elac2<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Elf4,Elf4<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ell2,Ell2<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ell2,Ell2<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Elmo1,Elmo1<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Emcn,Emcn<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Eml1,Eml1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Enc1,Enc1<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Endou,Endou<tm1>,Van der Weyden et al. 2020,PMID: 32245826
Enthd2,Enthd2<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Entpd1,Entpd1<tm1a(EUCOMM)Wtsi/Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Entpd6,Entpd6<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Epas1,Epas1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ergic3,Ergic3<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Erlin2,Erlin2<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ermap,Ermap<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Erp44,Erp44<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Esco1,Esco1<tm1(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Esco2,Esco2<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Espn,Espn<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Etv3,Etv3<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Evi5,Evi5<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Exo5,Exo5<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Exoc3,Exoc3<tm2b(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Exoc3l2,Exoc3l2<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Exoc3l2,Exoc3l2<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Exosc9,Exosc9<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
F730043M19Rik,F730043M19Rik<tm1.1(NCC)WCS>,Van der Weyden et al. 2020,PMID: 32245826
Fads3,Fads3<tm1b(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Fam102b,Fam102b<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam110c,Fam110c<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam111a,Fam111a<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam114a2,Fam114a2<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam122c,Fam122c<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam133b,Fam133b<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam136a,Fam136a<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam13a,Fam13a<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam160a1,Fam160a1<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam163a,Fam163a<tm2b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam175b,Fam175b<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam178a,Fam178a<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam196b,Fam196b<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam19a2,Fam19a2<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam212b,Fam212b<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam213b,Fam213b<tm1b(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Fam219b,Fam219b<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam47e,Fam47e<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam69a,Fam69a<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam71b,Fam71b<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam92a,Fam92a<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fam92b,Fam92b<tm1e(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fanci,Fanci<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Far1,Far1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fbf1,Fbf1<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fbxo33,Fbxo33<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fbxo47,Fbxo47<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fbxo7,Fbxo7<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fbxw26,Fbxw26<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fcho2,Fcho2<tm1b(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Fdft1,Fdft1<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fes,Fes<tm1b(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Fgd4,Fgd4<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fgfbp1,Fgfbp1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fggy,Fggy<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fibp,Fibp<tm1e(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fignl1,Fignl1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Filip1,Filip1<tm2b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fkbp3,Fkbp3<tm2a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Flvcr2,Flvcr2<tm1a(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Fndc10,Fndc10<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fndc5,Fndc5<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fnip2,Fnip2<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Frmd7,Frmd7<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Frrs1,Frrs1<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fryl,Fryl<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fubp3,Fubp3<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fut2,Fut2<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fut8,Fut8<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fxyd3,Fxyd3<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Fzd6,Fzd6<tm2a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
G3bp2,G3bp2<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Galnt18,Galnt18<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Galntl5,Galntl5<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gas2l2,Gas2l2<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gbf1,Gbf1<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gbp3,Gbp3<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gbp4,Gbp4<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gbp5,Gbp5<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gcc2,Gcc2<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gda,Gda<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gdap2,Gdap2<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gdpd2,Gdpd2<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gfm1,Gfm1<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ghitm,Ghitm<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gimap4,Gimap4<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gimap6,Gimap6<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Glcci1,Glcci1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gldc,Gldc<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gldn,Gldn<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Glg1,Glg1<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Glo1,Glo1<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Glra4,Glra4<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Glt8d2,Glt8d2<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Glyatl3,Glyatl3<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm12169,Gm12169<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm12253,Gm12253<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm13119,Gm13119<tm2b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm13125,Gm13125<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm16379,Gm16379<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm16432,Gm16432<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm16432,Gm16432<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm16515,Gm16515<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm17750,Gm17750<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm20646,Gm20646<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm2694,Gm2694<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm28050,Gm28050<tm1.1(NCC)WCS>,Van der Weyden et al. 2020,PMID: 32245826
Gm5083,Gm5083<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm5155,Gm5155<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm5544,Gm5544<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm648,Gm648<tm1e(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gm6578,Gm6578<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gmds,Gmds<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gmnc,Gmnc<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gnb3,Gnb3<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gnl3,Gnl3<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Golt1a,Golt1a<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gpatch1,Gpatch1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gpbp1l1,Gpbp1l1<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gpc5,Gpc5<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gpr107,Gpr107<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gpr152,Gpr152<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gpr35,Gpr35<tm1b(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Grb7,Grb7<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Grm8,Grm8<tm2a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Grsf1,Grsf1<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gsdme,Gsdme<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gsto2,Gsto2<tm2a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gtf2a1,Gtf2a1<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gtf2h2,Gtf2h2<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gtpbp3,Gtpbp3<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gzmd,Gzmd<tm1b(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Gzme,Gzme<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Gzmf,Gzmf<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
H13,H13<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
H2-Eb1,H2-Eb1<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
H2-T24,H2-T24<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
H2afb3,H2afb3<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
H2al2a,H2al2a<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hacl1,Hacl1<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hao1,Hao1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hao2,Hao2<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hapln4,Hapln4<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hba-x,Hba-x<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hbs1l,Hbs1l<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hdac8,Hdac8<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Heatr9,Heatr9<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hecw2,Hecw2<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hepacam,Hepacam<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Herc1,Herc1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Herc1,Herc1<em2(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Herc1,Herc1<em3(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hibadh,Hibadh<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hipk3,Hipk3<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hira,Hira<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hmgxb3,Hmgxb3<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Homez,Homez<tm1e(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hpf1,Hpf1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hrnr,Hrnr<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Hsp90aa1,Hsp90aa1<tm1(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Htra3,Htra3<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Iars,Iars<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Icam5,Icam5<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Id2,Id2<tm2b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ido1,Ido1<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ifi207,Ifi207<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ifi27,Ifi27<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ifi44,Ifi44<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ifi44l,Ifi44l<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ifih1,Ifih1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ifitm1,Ifitm1<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ifitm3,Ifitm3<tm1Masu>,Van der Weyden et al. 2020,PMID: 32245826
Ifitm6,Ifitm6<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ifnar1,Ifnar1<tm2a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ifnlr1,Ifnlr1<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ift140,Ift140<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ift80,Ift80<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Igh-6,Igh-6<tm1Cgn>,Van der Weyden et al. 2020,PMID: 32245826
Igsf3,Igsf3<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Igsf6,Igsf6<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Igsf8,Igsf8<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Il10rb,Il10rb<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Il17re,Il17re<tm1b(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Il18rap,Il18rap<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Il1r2,Il1r2<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Il22,Il22<tm1Jcrd>,Van der Weyden et al. 2020,PMID: 32245826
Il22ra1,Il22ra1<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Il23r,Il23r<tm2a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Il27,Il27<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Il4ra,Il4ra<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Il6ra,Il6ra<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ildr1,Ildr1<tm1(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ints11,Ints11<tm2b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ints2,Ints2<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Ints9,Ints9<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Irak1,Irak1<tm1a(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Irak1,Irak1<tm1b(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Irf1,Irf1<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Irf5,Irf5<tm1e(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Irf6,Irf6<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Irf7,Irf7<tm1(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Irgm1,Irgm1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Isg20,Isg20<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Itgam,Itgam<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Itln1,Itln1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Itm2a,Itm2a<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Izumo1r,Izumo1r<tm2a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Jmjd1c,Jmjd1c<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Jmjd4,Jmjd4<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Jmjd7,Jmjd7<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Josd1,Josd1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kat2b,Kat2b<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kbtbd11,Kbtbd11<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kcnh4,Kcnh4<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kcnip4,Kcnip4<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kdm4d,Kdm4d<tm2a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kdm5b,Kdm5b<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kdm7a,Kdm7a<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kera,Kera<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kif13b,Kif13b<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kif18b,Kif18b<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kif1bp,Kif1bp<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kif23,Kif23<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kif24,Kif24<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kif3b,Kif3b<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kifap3,Kifap3<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klc2,Klc2<tm1e(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klf1,Klf1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klf17,Klf17<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klhl18,Klhl18<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klhl21,Klhl21<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klhl26,Klhl26<tm1b(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klhl30,Klhl30<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klhl42,Klhl42<tm1b(EUCOMM)Hmgu>,Van der Weyden et al. 2020,PMID: 32245826
Klk5,Klk5<tm2a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klk6,Klk6<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klk9,Klk9<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klra6,Klra6<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klrb1a,Klrb1a<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klrc1,Klrc1<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
"Klrc1, Klrc2, Klrc3","Klrc1, Klrc2, Klrc3)<em1(IMPC)Wtsi>",Van der Weyden et al. 2020,PMID: 32245826
Klrc2,Klrc2<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Klrc3,Klrc3<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kmt2b,Kmt2b<tm1.2(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kmt2e,Kmt2e<tm1.2(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Kptn,Kptn<tm1a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Krt31,Krt31<tm1e(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Krt5,Krt5<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Krt7,Krt7<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Krt79,Krt79<tm2b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Krt83,Krt83<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
L3mbtl2,L3mbtl2<tm2a(EUCOMM)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Lacc1,Lacc1<tm1a(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Larp4b,Larp4b<em1(IMPC)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
Lars,Lars<tm1b(KOMP)Wtsi>,Van der Weyden et al. 2020,PMID: 32245826
